tier,year_month,median_pace,p25,p75,run_count,athlete_count,avg_runs_per_athlete
Mid (2-3x/wk),2016-07-01,5.631522944918611,5.057669699203798,6.592566227866867,203,77,2.6363636363636362
Mid (2-3x/wk),2016-08-01,5.708863739456474,5.267158302002384,6.449418748454118,217,77,2.8181818181818183
Mid (2-3x/wk),2016-09-01,5.608691953380407,5.173530736968926,6.219160992191084,215,77,2.792207792207792
Mid (2-3x/wk),2016-10-01,5.465078150617554,4.947685740564388,6.039778911997908,275,77,3.5714285714285716
Mid (2-3x/wk),2016-11-01,5.358093930274193,4.94451256778548,5.870469612027334,235,77,3.051948051948052
Mid (2-3x/wk),2016-12-01,5.526860893659377,4.959204532908818,6.157248784594629,237,77,3.0779220779220777
Mid (2-3x/wk),2017-01-01,5.550331086105208,5.084801302281226,6.199952840638849,308,77,4.0
Mid (2-3x/wk),2017-02-01,5.525177207033048,5.025266861179629,6.156058662612061,259,77,3.3636363636363638
Mid (2-3x/wk),2017-03-01,5.593665026355364,5.119435224707598,6.211485805502025,328,77,4.259740259740259
Mid (2-3x/wk),2017-04-01,5.652838821068004,5.076833278985576,6.424542466863855,346,77,4.4935064935064934
Mid (2-3x/wk),2017-05-01,5.826711672991315,5.298674123027608,6.583290843338901,331,77,4.298701298701299
Mid (2-3x/wk),2017-06-01,5.738732488650333,5.095419248137128,6.458285426557122,299,77,3.883116883116883
Mid (2-3x/wk),2017-07-01,5.818801378743556,5.152717053212153,6.665541492893091,370,77,4.805194805194805
Mid (2-3x/wk),2017-08-01,5.718378189010248,5.134103448850661,6.497687032217492,385,77,5.0
Mid (2-3x/wk),2017-09-01,5.641020997957001,5.097975452705585,6.26011481759529,382,77,4.961038961038961
Mid (2-3x/wk),2017-10-01,5.598573372753297,5.030128047075923,6.402236453785445,439,77,5.701298701298701
Mid (2-3x/wk),2017-11-01,5.577644391908834,5.103858548888365,6.231849265457743,427,77,5.545454545454546
Mid (2-3x/wk),2017-12-01,5.595175277293635,5.122053351346619,6.209968742420641,431,77,5.597402597402597
Mid (2-3x/wk),2018-01-01,5.687410099174805,5.15381290476265,6.289497652064993,595,77,7.7272727272727275
Mid (2-3x/wk),2018-02-01,5.763281748392398,5.213388873371927,6.423340164508627,508,77,6.597402597402597
Mid (2-3x/wk),2018-03-01,5.626831805723919,5.135641488997808,6.310928528065782,619,77,8.03896103896104
Mid (2-3x/wk),2018-04-01,5.752376318710817,5.211635333616496,6.691178636684155,600,77,7.792207792207792
Mid (2-3x/wk),2018-05-01,5.822992815876211,5.171849728446766,6.770534375324138,652,77,8.467532467532468
Mid (2-3x/wk),2018-06-01,5.770221212036866,5.223761927374337,6.611857710039006,540,77,7.012987012987013
Mid (2-3x/wk),2018-07-01,5.894144201913459,5.329593845056428,6.709385713283709,482,77,6.259740259740259
Mid (2-3x/wk),2018-08-01,5.855275753436356,5.231171364608535,6.546773000782004,520,77,6.753246753246753
Mid (2-3x/wk),2018-09-01,5.691138984932993,5.173254076684003,6.381898454746136,585,77,7.597402597402597
Mid (2-3x/wk),2018-10-01,5.575910465092998,5.0947597876628015,6.128293241695303,557,77,7.233766233766234
Mid (2-3x/wk),2018-11-01,5.684174986736121,5.141259389373688,6.411687685204328,549,77,7.12987012987013
